query,expected_response,query_id,service_url
How do I register for controlled or semi-controlled drugs custody?,"This service enables clinics, pharmacies, and medical warehouses to apply for a register of controlled and semi-controlled drugs custody. You can apply through the MoHAP website or smart app using UAE PASS.  You'll need to fill out an application form, which will be reviewed by the Drug Department. If approved, you'll pay the associated fees online, and the register will be sent to you via courier. Your healthcare facility must have a valid license.",1,https://mohap.gov.ae/en/services/request-for-a-register-for-controlled-or-semi-controlled-drugs-custody
What are the requirements for renewing the registration of a conventional pharmaceutical product?,"To renew the registration, you must be a Marketing Authorization Holder (MAH) company registered with MOHAP and a medical warehouse with a valid license. You'll need to submit an online application and pay the fees. The registration officer will review the application and may request additional documents.  The renewed registration is valid for five years from the last expiry date.",2,https://mohap.gov.ae/en/services/renewal-of-registration-of-a-conventional-pharmaceutical-product
How do I appeal a decision made by the Medical Licensing Committee?,"You can appeal a decision by submitting an appeal to the Office of the Minister of Health and Prevention within 15 days of receiving the decision. The appeal is then reviewed by the Grievance Committee, and you will receive a response after their review.",3,https://mohap.gov.ae/en/services/appeal-against-medical-licensing-committee-decisions
What is the process for obtaining a certificate of amendment for registered pharmaceutical products?,"You can apply for a certificate of amendment through the MoHAP website or smart app using UAE PASS. After submitting the request and paying the fees, a registration officer will review the application. You might need to provide additional documents and follow up with the Pharmacological Analysis Section of the Drug Department.  The certificate will be issued if all requirements are met.",4,https://mohap.gov.ae/en/services/issue-of-a-certificate-of-amendment-of-registered-pharmaceutical-products
How can I get a product classified?,"This service classifies products based on presentation, composition, use, and design. You apply through the MoHAP website or app using UAE PASS, providing product details and required documents. The classification letter informs you about relevant UAE laws and whether MOHAP registration is needed. If registration is required, it must be done according to the class identified in the letter.",5,https://mohap.gov.ae/en/services/classification-of-a-product
What are the steps to re-license a pharmaceutical facility?,"You can re-license a pharmaceutical facility after license cancellation or suspension within 180 days of expiry. Apply through your MoHAP account, pay the fee, and apply for initial approval. After meeting requirements, you'll receive initial approval and a no-objection certificate for government entities. Finalize licenses with other entities (like Civil Defense), apply for staff licensing, pay the final fee, and submit the final approval request. The license will then be issued electronically.",6,https://mohap.gov.ae/en/services/re-licensing-a-pharmaceutical-facility
How can I renew my license as a nurse or medical professional?,"Medical facilities can renew licenses for nursing practitioners and medical/dental technicians through the MoHAP website or smart app using UAE PASS.  Fill out the application, attach documents, and pay the fees. The license will be issued electronically.  A medical report is required for those 60 and above, and continuing education hours are required (20 for nurses, 10 for technicians).",7,https://mohap.gov.ae/en/services/renewal-of-licenses-for-nursing-and-medical-professionals
What's the process for getting a permit to import medical equipment?,"Local agents with a valid medical store license can obtain an import permit for medical equipment. Submit a pre-import permit application before shipping, then a shipment clearance application after getting the shipping bill. Approval is electronic. The permit is valid for 60 days and may require inspection for medicated devices.",8,https://mohap.gov.ae/en/services/issue-of-permit-to-import-medical-equipment
How can I renew my health facility license?,Health facilities can renew their licenses online via the MoHAP website or smart app. Submit the application with required documents and pay the fee. The renewed license will be issued electronically.  Ensure renewal is done annually to avoid fines and eventual license cancellation.,9,https://mohap.gov.ae/en/services/renew-a-health-facility-license
What are the steps to register a change in a doctor's professional title?,"Medical facilities can apply to register changes to doctors' job titles through their MoHAP account. Submit required information and documents. After review, pay the fee online.  A final review will be conducted, and the updated license will be issued if all conditions are met.",10,https://mohap.gov.ae/en/services/registration-of-a-change-to-the-professional-title-of-a-doctor
